street1,street2,city,date,desc,bus_year,bus_manufacturer,lat,long,formatted_address
Nan,22Nd Ave Stn,Burnaby,2020-01-23 00:00:00,Collisions With Other Vehicles,2009,Nov,49.2502815,-123.0643484,"E 22nd Ave, Vancouver, BC, Canada"
Seaport Ave,Seacote Rd,Richmond,2020-01-22 00:00:00,Collisions With Other Vehicles,2009,Nov,49.1412518,-123.0979427,"Seacote Rd, Richmond, BC V7A, Canada"
Bay 2,Newton Exchange,Surrey,2020-01-22 00:00:00,Collisions With Other Vehicles,2018,Wf,49.133306,-122.841764,"Newton Exchange @ Bay 1, Surrey, BC V3W 2P4, Canada"
Nan,12719 114 Ave,Surrey,2020-01-22 00:00:00,Collisions With Other Vehicles,2017,Gm,49.21002310000001,-122.8695745,"12719 114 Ave, Surrey, BC V3V 3P2, Canada"
Hwy 1,Mcgill St,Vancouver,2020-01-22 00:00:00,Collisions With Other Vehicles,2007,Nov,49.288715,-123.0466946,"McGill St, Vancouver, BC, Canada"
E Pender St,Main St,Vancouver,2020-01-21 00:00:00,Collisions With Other Vehicles,2007,Wf,49.2457108,-123.101237,"Main St, Vancouver, BC, Canada"
University Dr,108 Ave,Surrey,2020-01-21 00:00:00,Collisions With People,2006,Wf,49.1987331,-122.8124861,"108 Ave, Surrey, BC, Canada"
W 33 Ave,Granville St,Vancouver,2020-01-21 00:00:00,Collisions With Objects,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Hamilton St,W Georgia St,Vancouver,2020-01-21 00:00:00,Collisions With Objects,2007,Nov,49.2857341,-123.1231553,"W Georgia St, Vancouver, BC, Canada"
Pemberton Ave,E 22 St,North Vancouver,2020-01-21 00:00:00,Collisions With Objects,2008,Nov,49.3292342,-123.0668011,"22nd St E, North Vancouver, BC V7L, Canada"
W 48 Ave,Granville St,Vancouver,2020-01-21 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Imperial St,Royal Oak Ave,Burnaby,2020-01-20 00:00:00,Collisions With People,2016,Wf,49.231338,-122.9889445,"Royal Oak Ave, Burnaby, BC, Canada"
W 45 Ave,Granville St,Vancouver,2020-01-20 00:00:00,Collisions With Other Vehicles,2007,Nov,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Burke St,Smith Ave,Burnaby,2020-01-20 00:00:00,Collisions With Other Vehicles,2007,Nov,49.246111,-123.0198508,"Smith Ave, Burnaby, BC, Canada"
W 33 Ave,Granville St,Vancouver,2020-01-20 00:00:00,Collisions With Objects,2007,Wf,49.2454569,-123.1392135,"Granville St, Vancouver, BC, Canada"
Renfrew St,E Hastings St,Vancouver,2020-01-20 00:00:00,Collisions With Other Vehicles,2006,Wf,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
Main St,E Hastings St,Vancouver,2020-01-20 00:00:00,Collisions With Other Vehicles,2007,Wf,49.2810796,-123.0441015,"E Hastings St, British Columbia, Canada"
